No. ,Resource Type,Name ,Latitude ,Longitude ,Stone ,Main period ,State,Pharaoh,Ancient name,Modern name,Dynasty,Site,Base1 (m),Base2 (m),Height (m),Slope (dec degr),Volume (cu.m),Type,Lepsius,Material,Comment
O2b ,Other soft stones,Wadi Saqiyah south ,26.32601 3,3.65551 Talc ,schist ,GR ,2,,,,,,,,,,,,,,
O3 ,Other soft stones,Gebel Rokham ,25.29967,33.96567,Marble ,P/GR ,4,,,,,,,,,,,,,,
O4 ,Other soft stones,Wadi Mubarak ,25.26901,34.43733,Steatite ,I ,1,,,,,,,,,,,,,,
O5 ,Other soft stones,Wadi Abu Qureya ,25.23251,34.04583,Steatite ,I ,1,,,,,,,,,,,,,,
O6 ,Other soft stones,Wadi el-Humra ,25.23083,33.98667,Steatite ,I ,1,,,,,,,,,,,,,,
O7 ,Other soft stones,Wadi Umm Salim ,25.12951,34.00833,Steatite ,I ,1,,,,,,,,,,,,,,
O8 ,Other soft stones,Gebel Rod el-Barram ,25.10251,34.07283,Steatite ,GR/I ,1,,,,,,,,,,,,,,
O9 ,Other soft stones,Wadi el-Anba’ut ,24.93017,34.92351,Gypsum ,GR ,1,,,,,,,,,,,,,,
O10 ,Other soft stones,Wadi Kamoyid ,22.60001,34.97667,Steatite ,I ,1,,,,,,,,,,,,,,
O11 ,Other soft stones,Wadi Ma’awad ,25.31217,33.67333,Talc schist ,GR ,1,,,,,,,,,,,,,,
O12 ,Other soft stones,Qasr el-Sagha ,29.60584,30.67388,Gypsum ,P ,1,,,,,,,,,,,,,,
H25 ,Chert,Wadi Hameda ,26.21183,33.51617,Chert ,B ,1,,,,,,,,,,,,,,
H32 ,Chert,Wadi Araba /Wadi Umm Nikhaybar ,29.07813,31.59083,Chert,P ,1,,,,,,,,,,,,,,
H33 ,Chert,Wadi el-Sheikh ,28.72083,31.01833,Chert ,P ,1,,,,,,,,,,,,,,
H34 ,Chert,Hierakonpolis ,25.06917,32.77667,Chert ,PH/P ,2,,,,,,,,,,,,,,
