No. ,Resource Type,Name ,Latitude ,Longitude ,Stone ,Main period ,State,Pharaoh,Ancient name,Modern name,Dynasty,Site,Base1 (m),Base2 (m),Height (m),Slope (dec degr),Volume (cu.m),Type,Lepsius,Material,Comment
,,,24.943611,32.841944,,,,Huni (?),-,Edfu South Pyramid,3,Edfu,18,18,12.5,77,,Step,,Sandstone,
,,,25.116667,32.8,,,,Huni (?),-,Al Kula Pyramid,3,Hierakonpolis,19,19,12,77,,Step,,Limestone,
,,,25.940556,32.709167,,,,Huni (?),-,Pyramid of Naqada (Pyramid of Ombos),3,Naqada,19,19,14,80,,Step,,Limestone,
,,,26.157778,31.966111,,,,Huni (?),-,Pyramid of Sinki,3,Abydos,19,19,12.5,80,,Step,,Limestone,
,,,28.045833,30.828611,,,,Huni (?),-,Pyramid of Zawyet el-Maiyitin,3,Al-Minya,22.4,22.4,17,80,,Step,,Limestone,
,,,29.382589,31.053581,,,,Sneferu,-,Pyramid of Seila,4,Seila,25,25,6.8,76,,Step,,Limestone,
,,,29.388056,31.156944,,,,Sneferu,Snefru endures,Pyramid of Meidum,4,Meidum,144,144,92,51.84,638.733,Smooth-faced,LXV,Limestone,
,,,29.790278,31.209167,,,,Sneferu,Snefru shines in the South,Bent Pyramid,4,Dahshur,188,188,105,54.46,1.237.040,Bent,LVI,Limestone,
,,,29.808333,31.205833,,,,Sneferu,Snefru shines in the North,Red Pyramid (North Pyramid),4,Dahshur,220,220,105,43.37,1.694.000,Smooth-faced,XLIX,Limestone,
,,,29.978836,31.136261,,,,Hetepheres I,-,Pyramid G1-a,4,Giza,49.5,49.5,30.25,,,TRUE,V,Limestone,
,,,29.978333,31.136111,,,,Meritites I,-,Pyramid G1-b,4,Giza,50,50,30,33,,TRUE,VI,Limestone,
,,,29.977778,31.136389,,,,Henutsen,King's daughter. Henutsen,Pyramid G1-c,4,Giza,46.25,46.25,29.6,52,,TRUE,VII,Limestone,
,,,29.97785,31.136256,,,,Khufu,-,Pyramid G1-d,4,Giza,23,23,14,52,,TRUE,,Limestone,
,,,29.979167,31.134167,,,,Khufu,Khufu's horizon,The Great Pyramid of Giza,4,Giza,230.3,230.3,146.6,51.84,2.583.283,TRUE,IV,Limestone. granite,
,,,30.032222,31.074722,,,,Djedefre,Djedefre's Starry Sky,Pyramid of Djedefre,4,Abu Rawash,106,106,67,52,131.043,TRUE,II,Limestone. granite,
,,,29.940122,31.151556,,,,Bikheris (?),Star of ..?..-Ka,Unfinished Northern Pyramid of Zawyet el'Aryan,4,Zawyet el'Aryan,200,200,,52,,TRUE,XIII,,(unfinished)
,,,29.975947,31.130698,,,,Khafra,Khafra is great,Pyramid of Khafre,4,Giza,215.25,215.25,143.5,53.17,2.211.096,TRUE,VIII,Limestone,
,,,29.972378,31.128327,,,,Menkaure,Menkaure is divine,Pyramid of Menkaure,4,Giza,105.46,105.46,65.5,51.34,235.183,TRUE,IX,Limestone. granite,
,,,29.971592,31.127274,,,,Menkaure,-,Pyramid G-3c (western),4,Giza,31.5,31.5,21,,7,Step,X,Limestone,Menkaure' wife (?)
,,,29.971592,31.127783,,,,Menkaure,-,Pyramid G-3b (middle),4,Giza,31.5,31.5,21,,7,Step,XI,Limestone,Menkaure' wife (?)
,,,29.971592,31.128293,,,,Menkaure,-,Pyramid G-3a (eastern),4,Giza,44.4,44.4,28.3,,18.69,TRUE,XII,Limestone,Menkaure' wife (?)
,,,29.838889,31.215,,,,Shepseskaf,The Purified Pyramid,Mastabat al-Fir'aun,4,Giza,99.6,74.4,18,70,148.271,Step,,Sandstone. Granite. Limestone,Mastaba
,,,29.973306,31.135361,,,,Khentkawes,-,Step tomb of Khentkaus I,4,Giza,35.5,45.8,17.5,74,6.372,Step,LG100,Bedrock. Limestone,LG 100
,,,29.810833,31.212222,,,,Menkauhor (?),-,Pyramid Lepsius L,4,Dahshur,85,85,,,,-,L,Limestone,Never built. earthwork just started
,,,29.873611,31.218889,,,,Userkaf,The pure sites of Userkaf,Pyramid of Userkaf,5,Saqqara,73.3,73.3,49,53.13,87.906,TRUE,XXXI,Limestone,
,,,29.87275,31.2186,,,,Neferhetepes ,-,Pyramid of Neferhetepes (wife of Userkaf),5,Saqqara,26,26,17,52,,Smooth-faced,,Limestone,
,,,29.897778,31.203333,,,,Sahure,The personality (ba) of Sahure appears,Pyramid of Sahure,5,Abusir,78.75,78.75,47,50.19,96.542,TRUE,XVIII,Limestone,
,,,29.895,31.2025,,,,Neferirkare Kakai,Personality (ba) of Neferirkare,Pyramid of Neferirkare,5,Abusir,72,72,52,53.13,257.25,Step,XXI,Limestone,Later converted to true type
,,,29.893889,31.201667,,,,Neferefre,The power of Neferefre is divine,Pyramid of Neferefre,5,Abusir,65,65,,,,Smooth-sided,XXVI,Limestone,(unfinished)
,,,29.894143,31.202523,,,,Khentkawes II,King's Wife (King's Mother),Pyramid of Queen Khentkawes II,5,Abusir,25,25,16,52,,TRUE,XXV,Limestone,
,,,29.898664,31.201633,,,,Shepseskare (?),-,Unfinished pyramid of North Abusir,5,Abusir,105,105,,,,TRUE,XXVIII,Limestone,(unfinished)
,,,29.895667,31.203556,,,,Nyuserre Ini,The seats of Niuserre will endure,Pyramid of Nyuserre,5,Abusir,78.9,78.9,51.68,51.84,112.632,Smooth-sided,XX,Limestone,
,,,29.875278,31.223611,,,,Menkauhor Kaiu,The divine places of Menkauhor,Headless Pyramid,5,Saqqara,52,52,52.5,,,Smooth-faced,XXIX,Limestone,
,,,29.851111,31.220833,,,,Djedkare Isesi,Beautiful is Djedkare,Pyramid of Djedkare-Isesi,5,South Saqqara,78.75,78.75,52.5,52,107.835,TRUE,XXXVII,Limestone,
,,,29.868333,31.214722,,,,Unas,The places of Unas are beautiful,Pyramid of Unas,5,North Saqqara,57.75,57.75,43,56.31,47.39,Smooth-sided,XXXV,Limestone,
,,,29.875278,31.221667,,,,Teti,The places of Teti are enduring,Pyramid of Teti,6,North Saqqara,78.75,78.75,52.5,53.13,107.835,Smooth-sided,XXX,Limestone,
,,,29.85451,31.21909,,,,Pepi I,The beauty of Pepi may endure,Pyramid of Pepi I,6,South Saqqara,78.75,78.75,52.5,53.13,107.835,TRUE,XXXVI,Limestone,
,,,29.850556,31.215,,,,Merenre,The beauty of Merenre appears,Pyramid of Merenre,6,South Saqqara,78.75,78.75,52.5,53.13,107.835,TRUE,XXXIX,Limestone,
,,,29.8403,31.2133,,,,Pepi II,Pepi is established and living,Pyramid of Pepi II,6,South Saqqara,79,79,52.4,53.13,107.835,TRUE,XLI,Limestone,
,,,29.841667,31.217778,,,,Qakare Ibi,-,Pyramid of Ibi,8,South Saqqara,31.5,31.5,21,53.11,6.994,TRUE,XL,Limestone,
,,,27.307778,30.871667,,,,Khui,-,Pyramid of Khui,8,Dara,146,136,15,,,Step,,Limestone,FIP
,,,29.574722,31.225,,,,Amenemhat I,Amenemhat appears at his place,Pyramid of Amenemhet I,12,Lisht,84,84,55,54.46,129.36,Smooth-faced,LX,Limestone,
,,,29.560009,31.220876,,,,Senusret I,Senusret beholds the two lands,Pyramid of Senusret I,12,Lisht,105,105,61.25,49.4,225.093,Smooth-faced,LXI,Limestone,
,,,29.805563,31.222781,,,,Amenemhat II,Amenemhat is provided,White Pyramid,12,Dahshur,50,50,84,,,TRUE,LI,Limestone,
,,,29.233333,30.966667,,,,Senusret II,Senusret Shines,Pyramid of Senusret II,12,El-Lahun,106,106,48.6,42.58,185.665,Smooth-faced,LXVI,Mudbrick,
,,,29.818889,31.225556,,,,Senusret III,-,Pyramid of Senusret III,12,Dahshur,105,105,63,56.31,288.488,TRUE,XLVII,Mudbrick,
,,,29.791667,31.223611,,,,Amenemhat III,Amenemhat is beautiful,Black Pyramid,12,Dahshur,105,105,75,57.26,274.625,TRUE,LVIII,Mudbrick,
,,,29.27424,30.898973,,,,Amenemhat III,Amenemhat lives,Pyramid of Hawara,12,Hawara,105,105,58,48.75,200.158,TRUE,LXVII,Mudbrick,
,,,29.761667,31.220833,,,,Amenemhat IV (?),-,Southern Mazghuna pyramid,13,Dahshur,52.5,52.5,,,,TRUE,,Mudbrick,(unfinished)
,,,29.7675,31.220833,,,,Sobekneferu (?),-,Northern Mazghuna pyramid,13,Dahshur,52.5,52.5,,,,TRUE,LIX,Limestone,(unfinished)
,,,29.781667,31.221389,,,,Ameny Qemau,-,Pyramid of Ameny Qemau,13,Dahshur,52,52,35,53.22,,TRUE,,Mudbrick,SIP
,,,29.832222,31.223889,,,,Khendjer,-,Pyramid of Khendjer,13,South Saqqara,52.5,52.5,37.35,55,44.096,TRUE,XLIV,Mudbrick,SIP
,,,29.830556,31.222222,,,,Weserkhau (?),-,Southern South Saqqara pyramid,13,South Saqqara,78.75,78.75,,,,TRUE,XLVI,Mudbrick,SIP
,,,26.171389,31.925,,,,Neferhotep I,-,Tomb S9,13,Abydos,45,60,,,,Mastaba,,Mudbrick,SIP
,,,26.171111,31.924167,,,,Sobekhotep IV,-,Tomb S10,13,Abydos,40,30,,,,Mastaba,,Mudbrick,SIP
,,,26.175,31.937778,,,,Ahmose I,-,Pyramid of Ahmose,18,Abydos,52.5,52.5,40,60,,Cenotaph,,Limestone,
